2010 Federal Election House of Representatives Two Party Preferred By Polling Place [Please Note: These results are not final. Event:15508 Phase:PostElection Generated:2010-08-22T07:44:31 Cycle:616f42f6-2035-4b88-9530-8ecd800c5267 Created:2010-08-22T07:29:29 Environment:PROD Site:CDC Server:DB01 Version:6.0.9.8314]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,Australian Labor Party Votes,Australian Labor Party Percentage,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,TotalVotes,Swing
NSW,103,Banks,7,Padstow,1681,57.69,1233,42.31,2914,-7.15
NSW,103,Banks,8,Padstow East,679,54.89,558,45.11,1237,-7.6
NSW,103,Banks,9,Padstow North,769,57.69,564,42.31,1333,-6.4
NSW,103,Banks,10,Padstow South,1312,50,1312,50,2624,-4.75
NSW,103,Banks,16,Peakhurst East,1098,58.1,792,41.9,1890,-6.43
NSW,103,Banks,17,Peakhurst South,880,45.67,1047,54.33,1927,-2.05
NSW,103,Banks,18,Peakhurst West,1247,48.5,1324,51.5,2571,-3.43
NSW,103,Banks,19,Penshurst,904,54.43,757,45.57,1661,-9.1
NSW,103,Banks,60,Penshurst Central,1252,58.56,886,41.44,2138,-11.12
NSW,103,Banks,23,Punchbowl (Banks),774,72.47,294,27.53,1068,-4.04
NSW,103,Banks,24,Revesby (Banks),458,61.73,284,38.27,742,-5.03
NSW,103,Banks,25,Revesby North (Banks),1208,60.67,783,39.33,1991,-5.39
NSW,103,Banks,58722,Revesby PPVC,539,51.83,501,48.17,1040,15.45
NSW,103,Banks,3,Riverwood East,989,60.9,635,39.1,1624,-10.78
NSW,103,Banks,27,Riverwood North,886,70.04,379,29.96,1265,-7.43
NSW,103,Banks,28,Riverwood South,899,54.68,745,45.32,1644,-10.48
NSW,103,Banks,35,South Hurstville,508,50.75,493,49.25,1001,-13.74
NSW,103,Banks,43,South Hurstville South,390,44.17,493,55.83,883,-10.85
NSW,103,Banks,33594,Special Hospital Team 1,0,0,0,0,0,-52.32
NSW,103,Banks,14011,Sydney (Banks),94,61.04,60,38.96,154,-6.65
NSW,104,Barton,32,Arncliffe,643,63.79,365,36.21,1008,-12.72
NSW,104,Barton,34,Arncliffe Central,792,67.35,384,32.65,1176,-7.34
NSW,104,Barton,2642,Arncliffe West,1541,61.62,960,38.38,2501,-12.53
NSW,104,Barton,2643,Bardwell Park,577,54.23,487,45.77,1064,-2.31
NSW,104,Barton,2645,Beverly Hills,614,54.14,520,45.86,1134,-13.03
NSW,104,Barton,2670,Beverly Hills Central,603,50.93,581,49.07,1184,-13.94
NSW,104,Barton,2647,Bexley,1013,59.83,680,40.17,1693,-8.96
NSW,104,Barton,2648,Bexley Central,455,57.02,343,42.98,798,-8.09
NSW,104,Barton,2640,Bexley East,929,64.56,510,35.44,1439,-6.48
NSW,104,Barton,2649,Bexley North,614,58.2,441,41.8,1055,-6.64
NSW,104,Barton,34034,Bexley South,417,57.92,303,42.08,720,-15.24
NSW,104,Barton,2650,Bexley West,1072,54.97,878,45.03,1950,-7.45
NSW,104,Barton,39,Brighton North,499,46.81,567,53.19,1066,-9.64
NSW,104,Barton,38,Brighton-Le-Sands,1294,56.16,1010,43.84,2304,-5.97
NSW,104,Barton,2653,Carlton,1738,65.46,917,34.54,2655,-8.52
NSW,104,Barton,47,Carlton South (Barton),1381,59.04,958,40.96,2339,-8.65
NSW,104,Barton,56544,Carlton West (Barton),132,58.93,92,41.07,224,-4.46
NSW,104,Barton,40,Carss Park,255,37.95,417,62.05,672,-5.17
NSW,104,Barton,2656,Clemton Park (Barton),1051,58,761,42,1812,-13.03
NSW,104,Barton,30095,Divisional Office (PREPOLL),237,58.37,169,41.63,406,-6.39
NSW,104,Barton,2659,Earlwood,503,55.64,401,44.36,904,-11.37
NSW,104,Barton,2660,Earlwood Central,806,56.01,633,43.99,1439,-6.71
NSW,104,Barton,2661,Earlwood South,1395,58.81,977,41.19,2372,-8.91
NSW,104,Barton,2666,Kingsgrove,871,54.23,735,45.77,1606,-9.07
NSW,104,Barton,2657,Kingsgrove North (Barton),474,55.37,382,44.63,856,-13.77
NSW,104,Barton,2667,Kingsgrove South,603,59.23,415,40.77,1018,-9.56
NSW,104,Barton,48,Kogarah,588,62.69,350,37.31,938,-9.28
NSW,104,Barton,49,Kogarah Bay,516,49.47,527,50.53,1043,2.9
NSW,104,Barton,50,Kogarah Central,910,64.04,511,35.96,1421,-11.74
NSW,104,Barton,54,Kogarah East,405,53.93,346,46.07,751,-8.42
NSW,104,Barton,71,Kogarah North,270,61.36,170,38.64,440,-8.5
NSW,104,Barton,2654,Kogarah West,616,61.11,392,38.89,1008,-10.99
NSW,104,Barton,51,Kyeemagh,487,51.64,456,48.36,943,-7.45
NSW,104,Barton,56570,Mccallums Hill (Barton),257,50.2,255,49.8,512,-17.08
NSW,104,Barton,52,Monterey,803,52.14,737,47.86,1540,-7.4
NSW,104,Barton,2662,North Bexley North,700,57.61,515,42.39,1215,-6.38
NSW,104,Barton,2672,North Earlwood,762,52.95,677,47.05,1439,-7.66
NSW,104,Barton,69,Ramsgate,980,54.54,817,45.46,1797,-2.16
NSW,104,Barton,61,Ramsgate Beach,1021,48.55,1082,51.45,2103,-5.63
NSW,104,Barton,62,Rockdale,901,69.2,401,30.8,1302,-9.38
NSW,104,Barton,63,Rockdale Central,1426,63.77,810,36.23,2236,-10.68
NSW,104,Barton,64,Rockdale Park,637,59.2,439,40.8,1076,-10.01
NSW,104,Barton,33869,Rockdale PPVC,1360,57.82,992,42.18,2352,-6.9
NSW,104,Barton,2671,Rockdale West,916,66.33,465,33.67,1381,-7.56
NSW,104,Barton,41,Sandringham,929,43.45,1209,56.55,2138,-4.92
NSW,104,Barton,68,Sans Souci,947,44.82,1166,55.18,2113,-7.52
NSW,104,Barton,37,Sans Souci North,152,47.5,168,52.5,320,-3.77
NSW,104,Barton,33595,Special Hospital Team 1,0,0,0,0,0,-52.38
NSW,104,Barton,33765,Special Hospital Team 2,0,0,0,0,0,-52.71
NSW,104,Barton,38392,Special Hospital Team 3,0,0,0,0,0,-52.73
NSW,104,Barton,56572,Special Hospital Team 4,0,0,0,0,0,-54.55
NSW,104,Barton,14014,Sydney (Barton),107,80.45,26,19.55,133,9.32
NSW,104,Barton,2641,Turrella,596,60.63,387,39.37,983,-16.1
NSW,104,Barton,2673,Undercliffe,999,57.75,731,42.25,1730,-7.91
NSW,105,Bennelong,75,Balaclava,1241,48.78,1303,51.22,2544,-4.94
NSW,105,Bennelong,33945,Bennelong PPVC,1633,44.31,2052,55.69,3685,-9.28
NSW,105,Bennelong,33930,Boronia Park (Bennelong),358,49.72,362,50.28,720,-0.91
NSW,105,Bennelong,634,Carlingford (Bennelong),559,44.86,687,55.14,1246,-4.72
NSW,105,Bennelong,638,Denistone,472,46.55,542,53.45,1014,-10.43
NSW,105,Bennelong,639,Denistone East,1132,45.66,1347,54.34,2479,-6.66
NSW,105,Bennelong,647,Denistone West,645,46.14,753,53.86,1398,-5.88
NSW,105,Bennelong,30096,Divisional Office (PREPOLL),0,0,0,0,0,-53.49
NSW,105,Bennelong,79,Eastview,440,40.74,640,59.26,1080,-5.11
NSW,105,Bennelong,642,Eastwood,1689,51.81,1571,48.19,3260,-6.33
NSW,105,Bennelong,80,Eastwood Heights,714,45.36,860,54.64,1574,-3.84
NSW,105,Bennelong,643,Eastwood West,614,42.03,847,57.97,1461,-5.04
NSW,105,Bennelong,644,Epping,1111,47.7,1218,52.3,2329,-4.34
NSW,105,Bennelong,81,Epping East,1030,50.19,1022,49.81,2052,-7.38
NSW,105,Bennelong,645,Epping Heights,795,46.19,926,53.81,1721,-4.22
NSW,105,Bennelong,82,Epping North,1116,44.68,1382,55.32,2498,-1.59
NSW,105,Bennelong,11927,Epping West,1360,48.76,1429,51.24,2789,-3.9
NSW,105,Bennelong,33783,Ermington,247,50.1,246,49.9,493,-9.01
NSW,105,Bennelong,2252,Ermington Central,568,51.17,542,48.83,1110,-8.43
NSW,105,Bennelong,2253,Ermington West (Bennelong),844,53.08,746,46.92,1590,-7.09
NSW,105,Bennelong,84,Gladesville (Bennelong),819,49.52,835,50.48,1654,-1.07
NSW,105,Bennelong,85,Gladesville Central,270,49.18,279,50.82,549,-5.03
NSW,105,Bennelong,86,Gladesville East,195,48.27,209,51.73,404,-8.24
NSW,105,Bennelong,87,Gladesville North,688,43.11,908,56.89,1596,-6.22
NSW,105,Bennelong,88,Gladesville West,190,36.75,327,63.25,517,-1.55
NSW,105,Bennelong,33877,Holy Cross Ryde,190,52.05,175,47.95,365,-6.28
NSW,105,Bennelong,92,Kent Road,740,45.74,878,54.26,1618,-6.88
NSW,105,Bennelong,93,Kittys Creek,173,44.47,216,55.53,389,-1.22
NSW,105,Bennelong,98,Lyon Park,661,53.18,582,46.82,1243,-7.03
NSW,105,Bennelong,99,Marsfield,826,40.89,1194,59.11,2020,-6.19
NSW,105,Bennelong,650,Meadowbank,600,52.26,548,47.74,1148,-9.61
NSW,105,Bennelong,33928,Melrose Park,620,46.58,711,53.42,1331,-3.79
NSW,105,Bennelong,8869,Parkes Street,717,49.11,743,50.89,1460,-4.36
NSW,105,Bennelong,102,Putney,1031,39.14,1603,60.86,2634,-3.77
NSW,105,Bennelong,33926,Roselea,966,41.04,1388,58.96,2354,-4.54
NSW,105,Bennelong,653,Royal Ryde Homes,177,45.62,211,54.38,388,-1.38
NSW,105,Bennelong,654,Ryde,711,52.59,641,47.41,1352,-5.18
NSW,105,Bennelong,104,Ryde Central,361,43.03,478,56.97,839,-2.79
NSW,105,Bennelong,105,Ryde East,1209,43.74,1555,56.26,2764,-3.57
NSW,105,Bennelong,655,Ryde Heights,447,44.57,556,55.43,1003,-7.17
NSW,105,Bennelong,656,Ryde Hospital,286,42.31,390,57.69,676,-7.55
NSW,105,Bennelong,106,Ryde North,1147,44.53,1429,55.47,2576,-3.88
NSW,105,Bennelong,657,Ryde South,224,35.84,401,64.16,625,-8.23
NSW,105,Bennelong,33596,Special Hospital Team 1,0,0,0,0,0,-32.54
NSW,105,Bennelong,58583,Special Hospital Team 2,0,0,0,0,0,-32.4
NSW,105,Bennelong,14017,Sydney (Bennelong),82,61.65,51,38.35,133,-0.08
NSW,105,Bennelong,34349,Top Ryde,831,54.53,693,45.47,1524,-6.19
NSW,105,Bennelong,107,Truscott,690,44.78,851,55.22,1541,-2.72
NSW,105,Bennelong,660,Water Tanks,571,45.46,685,54.54,1256,-4.12
NSW,105,Bennelong,661,West Ryde,1474,50.46,1447,49.54,2921,-7.57
NSW,105,Bennelong,108,Wicks,147,44.95,180,55.05,327,-0.14
NSW,106,Berowra,1822,Annangrove (Berowra),239,20.82,909,79.18,1148,-1.43
NSW,106,Berowra,1823,Arcadia,257,30.09,597,69.91,854,-0.73
NSW,106,Berowra,43686,Asquith (Berowra),300,40.32,444,59.68,744,-7.69
NSW,106,Berowra,632,Beecroft,1190,36.34,2085,63.66,3275,-6.46
NSW,106,Berowra,117,Berowra,1299,40.72,1891,59.28,3190,-5.82
NSW,106,Berowra,118,Berowra Heights,804,43.37,1050,56.63,1854,-0.36
NSW,106,Berowra,1828,Berowra Waters,35,36.84,60,63.16,95,1.78
NSW,106,Berowra,120,Brooklyn,195,49.24,201,50.76,396,-1.39
NSW,106,Berowra,58669,Castle Hill BEROWRA PPVC,364,24.06,1149,75.94,1513,-32.65
NSW,106,Berowra,637,Cheltenham,549,39.16,853,60.84,1402,-7.69
NSW,106,Berowra,11928,Cherrybrook,944,32.9,1925,67.1,2869,-8.13
NSW,106,Berowra,34004,Cherrybrook Central,281,27.31,748,72.69,1029,-8.28
NSW,106,Berowra,11929,Cherrybrook South,314,25.97,895,74.03,1209,-8.83
NSW,106,Berowra,121,Cowan,202,48.33,216,51.67,418,-7.79
NSW,106,Berowra,122,Dangar Island,93,78.81,25,21.19,118,-2.49
NSW,106,Berowra,30097,Divisional Office (PREPOLL),0,0,0,0,0,-55.81
NSW,106,Berowra,11930,Dural,439,20.56,1696,79.44,2135,-8.42
NSW,106,Berowra,11971,Eurambie Park (Berowra),413,29.02,1010,70.98,1423,-7.82
NSW,106,Berowra,1836,Galston,399,22.44,1379,77.56,1778,-7.82
NSW,106,Berowra,1838,Glenhaven (Berowra),578,21.58,2101,78.42,2679,-5.3
NSW,106,Berowra,1839,Glenorie,317,22,1124,78,1441,-2.58
NSW,106,Berowra,1831,Hillside Central,62,15.7,333,84.3,395,-7.42
NSW,106,Berowra,123,Hornsby (Berowra),493,47.77,539,52.23,1032,-8.1
NSW,106,Berowra,43688,Hornsby Central (Berowra),215,45.17,261,54.83,476,-8.94
NSW,106,Berowra,124,Hornsby Heights,981,39.99,1472,60.01,2453,-2.27
NSW,106,Berowra,126,Hornsby North,821,41.26,1169,58.74,1990,-4.08
NSW,106,Berowra,58578,Hornsby PPVC,982,35.92,1752,64.08,2734,-20.79
NSW,106,Berowra,134,Hornsby South,546,41.55,768,58.45,1314,-5.6
NSW,106,Berowra,128,Hornsby West,366,46.92,414,53.08,780,-7.47
NSW,106,Berowra,1852,John Purchase,1468,36.49,2555,63.51,4023,-5.34
NSW,106,Berowra,1842,Kenthurst,539,22.04,1906,77.96,2445,-5.16
NSW,106,Berowra,1788,Maroota,70,21.6,254,78.4,324,-6.71
NSW,106,Berowra,1789,Maroota South,73,16.9,359,83.1,432,-10.52
NSW,106,Berowra,1846,Middle Dural,223,19.65,912,80.35,1135,-5
NSW,106,Berowra,131,Mount Colah,1125,41.45,1589,58.55,2714,-4.41
NSW,106,Berowra,132,Mount Kuring-Gai,457,38.31,736,61.69,1193,-4.71
NSW,106,Berowra,1850,Murray Farm,1004,35.02,1863,64.98,2867,-7.91
NSW,106,Berowra,56575,Normanhurst (Berowra),126,42.57,170,57.43,296,-1.84
NSW,106,Berowra,135,Normanhurst West,886,41.54,1247,58.46,2133,-3.36
NSW,106,Berowra,33781,Oakhill Drive (Berowra),601,31.52,1306,68.48,1907,-9.62
NSW,106,Berowra,136,Pennant Hills,1019,31.56,2210,68.44,3229,-18.35
NSW,106,Berowra,56586,Samuel Gilbert (Berowra),137,23.46,447,76.54,584,-9.44
NSW,106,Berowra,33598,Special Hospital Team 1,0,0,0,0,0,-21.1
NSW,106,Berowra,14020,Sydney (Berowra),44,44.44,55,55.56,99,-3.65
NSW,106,Berowra,1855,Thompsons Corner,925,30.95,2064,69.05,2989,-8.95
NSW,106,Berowra,56576,Thornleigh (Berowra),159,38.97,249,61.03,408,-4.25
NSW,106,Berowra,33118,West Pennant Hills (Berowra),551,29.64,1308,70.36,1859,-9.87
NSW,106,Berowra,148,Westleigh,1191,35.67,2148,64.33,3339,-5.97
NSW,106,Berowra,33800,Wisemans Ferry,42,28.77,104,71.23,146,-2.77
NSW,107,Blaxland,2366,Auburn East (Blaxland),365,64.15,204,35.85,569,-3.72
NSW,107,Blaxland,56664,Auburn West (Blaxland),363,67.85,172,32.15,535,-6.14
NSW,107,Blaxland,31455,Bankstown (Blaxland),1138,73.94,401,26.06,1539,-2.92
NSW,107,Blaxland,33854,Bankstown BLAXLAND PPVC,1145,63.72,652,36.28,1797,-2.49
NSW,107,Blaxland,155,Bankstown Central (Blaxland),848,71.02,346,28.98,1194,-6.53
NSW,107,Blaxland,154,Bankstown East,981,71.04,400,28.96,1381,-3.29
NSW,107,Blaxland,157,Bankstown North,984,67.91,465,32.09,1449,-1.16
NSW,107,Blaxland,56630,Bankstown South (Blaxland),185,66.07,95,33.93,280,-5.2
NSW,107,Blaxland,177,Bankstown West,1169,64.09,655,35.91,1824,-2.79
NSW,107,Blaxland,159,Bass Hill,1288,61.57,804,38.43,2092,-1.66
NSW,107,Blaxland,162,Bass Hill West,1398,49.16,1446,50.84,2844,-3.41
NSW,107,Blaxland,2370,Berala (Blaxland),1334,70.03,571,29.97,1905,-5.77
NSW,107,Blaxland,2383,Berala South,934,57.3,696,42.7,1630,-9.41
NSW,107,Blaxland,2371,Birrong,1828,65.71,954,34.29,2782,-2.45
NSW,107,Blaxland,2373,Blaxcell (Blaxland),1422,65.96,734,34.04,2156,-2.46
NSW,107,Blaxland,2375,Chester Hill,1164,61.52,728,38.48,1892,-8.44
NSW,107,Blaxland,160,Chester Hill Central,1395,65.93,721,34.07,2116,3.69
NSW,107,Blaxland,2376,Chester Hill North,1225,64.44,676,35.56,1901,-1.34
NSW,107,Blaxland,167,Condell Park,1778,59.25,1223,40.75,3001,-5.6
NSW,107,Blaxland,33117,Condell Park North,378,54.94,310,45.06,688,-7.5
NSW,107,Blaxland,168,Condell Park South,1312,67.39,635,32.61,1947,-3.85
NSW,107,Blaxland,47792,Condell Park West,516,59.45,352,40.55,868,-4.99
NSW,107,Blaxland,30098,Divisional Office (PREPOLL),437,65.42,231,34.58,668,-0.95
NSW,107,Blaxland,43752,Fairfield East (Blaxland),223,69.25,99,30.75,322,-6.9
NSW,107,Blaxland,56666,Fowler Road (Blaxland),172,55.48,138,44.52,310,-3.06
NSW,107,Blaxland,169,Georges Hall,1338,52.55,1208,47.45,2546,-5.06
NSW,107,Blaxland,46624,Granville East (Blaxland),523,65.05,281,34.95,804,2.21
NSW,107,Blaxland,2380,Granville South (Blaxland),625,58.25,448,41.75,1073,-4.66
NSW,107,Blaxland,2381,Guildford,1041,59.97,695,40.03,1736,-5.87
NSW,107,Blaxland,2382,Guildford East,742,50.1,739,49.9,1481,-8.13
NSW,107,Blaxland,2390,Guildford South,646,65.19,345,34.81,991,3.52
NSW,107,Blaxland,2345,Guildford West,1378,53.1,1217,46.9,2595,-6.38
NSW,107,Blaxland,56671,Merrylands (Blaxland),153,43.97,195,56.03,348,-16.13
NSW,107,Blaxland,2349,Old Guildford,399,55.42,321,44.58,720,-10.33
