2010 Federal Election House of Representatives First Preferences by Vote Type by Party by State [Please Note: These results are not final. Event:15508 Phase:PostElection Generated:2010-09-07T12:32:08 Cycle:68fe14c4-8854-4daa-a230-b5f32eed4b61 Created:2010-09-07T12:19:52 Environment:PROD Site:FDC Server:DB01 Version:6.0.9.8314]
StateAb,PartyAb,PartyNm,OrderOfAppearance,Contested,Nominations,Elected,OrdinaryVotes,OrdinaryPercentage,AbsentVotes,AbsentPercentage,ProvisionalVotes,ProvisionalPercentage,PrePollVotes,PrePollPercentage,PostalVotes,PostalPercentage,TotalVotes,TotalPercentage,TotalSwing
VIC,DEM,Democrats,6,5,5,0,3030,0.12,294,0.19,1,0.02,246,0.20,335,0.15,3906,0.12,-1.10
VIC,CEC,Citizens Electoral Council,7,2,2,0,771,0.03,63,0.04,3,0.07,25,0.02,45,0.02,907,0.03,-0.24
VIC,LDP,Liberty and Democracy Party,8,5,5,0,5875,0.22,706,0.45,13,0.32,554,0.44,553,0.24,7701,0.24,+0.14
VIC,SAL,Socialist Alliance,9,3,3,0,1832,0.07,149,0.09,11,0.27,108,0.09,106,0.05,2206,0.07,+0.00
VIC,CDP,CDP Christian Party,10,1,1,0,553,0.02,27,0.02,0,0.00,8,0.01,26,0.01,614,0.02,-0.02
VIC,SEP,Socialist Equality Party,11,2,2,0,1339,0.05,176,0.11,5,0.12,60,0.05,68,0.03,1648,0.05,+0.03
VIC,AFN,Australia First Party (NSW) Incorporated,12,1,1,0,233,0.01,24,0.02,1,0.02,8,0.01,29,0.01,295,0.01,+0.01
VIC,ASXP,Australian Sex Party,13,3,3,0,4509,0.17,709,0.45,17,0.42,307,0.24,407,0.18,5949,0.19,+0.19
VIC,SPA,Secular Party of Australia,14,9,9,0,4005,0.15,511,0.32,7,0.17,250,0.20,354,0.16,5127,0.16,+0.16
VIC,IND,Independent,15,8,14,0,22362,0.85,1199,0.76,14,0.35,1075,0.86,1732,0.76,26382,0.84,-0.16
VIC,NAFD,Non Affiliated,16,1,1,0,431,0.02,18,0.01,0,0.00,24,0.02,41,0.02,514,0.02,+0.00
QLD,ALP,Australian Labor Party,1,30,30,0,674342,33.99,43498,31.83,1998,38.62,23775,30.49,55509,31.55,799122,33.58,-9.33
QLD,LNQ,Liberal National Party of Queensland,2,30,30,6,936772,47.22,58265,42.64,1899,36.70,37322,47.86,94214,53.54,1128472,47.42,+2.95
QLD,GRN,The Greens,3,30,30,0,213494,10.76,21457,15.70,746,14.42,10547,13.53,13531,7.69,259775,10.92,+5.29
QLD,FFP,Family First,4,30,30,0,77309,3.90,6746,4.94,267,5.16,2864,3.67,5473,3.11,92659,3.89,+1.62
QLD,ON,One Nation,5,3,3,0,3198,0.16,248,0.18,6,0.12,147,0.19,322,0.18,3921,0.16,-0.20
QLD,CEC,Citizens Electoral Council,6,2,2,0,1192,0.06,123,0.09,7,0.14,46,0.06,92,0.05,1460,0.06,-0.09
QLD,LDP,Liberty and Democracy Party,7,4,4,0,3198,0.16,615,0.45,16,0.31,342,0.44,433,0.25,4604,0.19,+0.04
QLD,SAL,Socialist Alliance,8,1,1,0,552,0.03,93,0.07,2,0.04,37,0.05,23,0.01,707,0.03,-0.02
QLD,DLP,DLP - Democratic Labor Party,9,6,6,0,3555,0.18,501,0.37,14,0.27,226,0.29,262,0.15,4558,0.19,+0.19
QLD,SPA,Secular Party of Australia,10,1,1,0,341,0.02,41,0.03,0,0.00,18,0.02,15,0.01,415,0.02,+0.02
QLD,IND,Independent,11,14,20,0,69392,3.50,4995,3.66,219,4.23,2627,3.37,6045,3.44,83278,3.50,+0.51
QLD,NAFD,Non Affiliated,12,1,1,0,472,0.02,60,0.04,0,0.00,28,0.04,36,0.02,596,0.03,+0.03
WA,LP,Liberal,1,15,15,1,467400,46.94,39621,44.30,1158,39.55,24999,49.75,30269,50.49,563447,47.02,+0.71
WA,ALP,Australian Labor Party,2,15,15,0,314801,31.61,24768,27.69,949,32.41,14313,28.48,19020,31.72,373851,31.20,-5.60
WA,GRN,The Greens,3,15,15,0,127178,12.77,16293,18.22,530,18.10,7289,14.51,6022,10.04,157312,13.13,+4.20
WA,CDP,CDP Christian Party,4,15,15,0,23413,2.35,2158,2.41,77,2.63,874,1.74,1224,2.04,27746,2.32,+0.21
WA,FFP,Family First,5,14,14,0,16243,1.63,2256,2.52,98,3.35,933,1.86,1070,1.78,20600,1.72,+0.51
WA,ON,One Nation,6,1,1,0,1138,0.11,187,0.21,10,0.34,78,0.16,58,0.10,1471,0.12,-1.03
WA,NP,The Nationals,7,4,4,0,36781,3.69,2937,3.28,61,2.08,1216,2.42,1756,2.93,42751,3.57,+2.43
WA,CEC,Citizens Electoral Council,8,3,3,0,981,0.10,158,0.18,1,0.03,48,0.10,78,0.13,1266,0.11,-0.15
WA,SAL,Socialist Alliance,9,2,2,0,1063,0.11,108,0.12,6,0.20,46,0.09,50,0.08,1273,0.11,+0.01
WA,SEP,Socialist Equality Party,10,1,1,0,301,0.03,49,0.05,4,0.14,18,0.04,18,0.03,390,0.03,+0.02
WA,ASXP,Australian Sex Party,11,1,1,0,1607,0.16,257,0.29,15,0.51,78,0.16,81,0.14,2038,0.17,+0.17
WA,DLP,DLP - Democratic Labor Party,12,1,1,0,476,0.05,74,0.08,2,0.07,43,0.09,28,0.05,623,0.05,+0.05
WA,TCS,The Climate Sceptics,13,1,1,0,366,0.04,95,0.11,2,0.07,44,0.09,32,0.05,539,0.04,+0.04
WA,IND,Independent,14,3,4,0,4074,0.41,475,0.53,15,0.51,271,0.54,250,0.42,5085,0.42,-1.27
SA,ALP,Australian Labor Party,1,11,11,2,337693,41.31,22698,37.83,871,45.70,9509,35.03,25675,39.17,396446,40.78,-2.40
SA,LP,Liberal,2,11,11,0,326981,40.00,20944,34.90,524,27.49,12318,45.38,29824,45.50,390591,40.18,-1.58
SA,GRN,The Greens,3,11,11,0,96002,11.74,10830,18.05,331,17.37,3510,12.93,5650,8.62,116323,11.97,+5.02
SA,FFP,Family First,4,11,11,0,40515,4.96,3634,6.06,134,7.03,1110,4.09,2926,4.46,48319,4.97,+0.92
SA,DEM,Democrats,5,8,8,0,5485,0.67,614,1.02,16,0.84,268,0.99,583,0.89,6966,0.72,-0.79
SA,ON,One Nation,6,2,2,0,836,0.10,129,0.21,2,0.10,24,0.09,83,0.13,1074,0.11,-0.06
SA,LDP,Liberty and Democracy Party,7,4,4,0,2049,0.25,417,0.69,3,0.16,121,0.45,155,0.24,2745,0.28,+0.11
SA,SPA,Secular Party of Australia,8,1,1,0,264,0.03,20,0.03,1,0.05,9,0.03,16,0.02,310,0.03,+0.03
SA,SAL,Socialist Alliance,9,1,1,0,607,0.07,91,0.15,0,0.00,29,0.11,22,0.03,749,0.08,+0.08
SA,TCS,The Climate Sceptics,10,5,5,0,2890,0.35,279,0.46,11,0.58,93,0.34,224,0.34,3497,0.36,+0.36
SA,IND,Independent,11,2,3,0,4188,0.51,351,0.58,13,0.68,155,0.57,384,0.59,5091,0.52,-0.18
TAS,ALP,Australian Labor Party,1,5,5,1,123770,44.41,6311,41.30,240,42.70,3485,35.09,9985,44.04,143791,43.95,+1.18
TAS,LP,Liberal,2,5,5,0,92805,33.30,4576,29.95,122,21.71,3847,38.74,8556,37.74,109906,33.60,-4.62
TAS,GRN,The Greens,3,5,5,0,46272,16.60,3443,22.53,144,25.62,2105,21.20,3077,13.57,55041,16.82,+3.32
TAS,CEC,Citizens Electoral Council,4,1,1,0,706,0.25,35,0.23,1,0.18,22,0.22,74,0.33,838,0.26,-0.31
TAS,SAL,Socialist Alliance,5,1,1,0,745,0.27,50,0.33,5,0.89,25,0.25,31,0.14,856,0.26,+0.00
TAS,SPA,Secular Party of Australia,6,1,1,0,848,0.30,138,0.90,3,0.53,34,0.34,62,0.27,1085,0.33,+0.33
TAS,IND,Independent,7,2,2,0,13553,4.86,728,4.76,47,8.36,413,4.16,886,3.91,15627,4.78,+2.56
ACT,ALP,Australian Labor Party,1,2,2,0,90612,45.53,1263,39.83,174,44.05,4993,40.68,2811,41.44,99853,45.05,-6.05
ACT,LP,Liberal,2,2,2,0,68911,34.63,971,30.62,131,33.16,4255,34.67,2870,42.31,77138,34.81,+1.58
ACT,GRN,The Greens,3,2,2,0,37577,18.88,899,28.35,79,20.00,2906,23.68,1037,15.29,42498,19.18,+6.02
ACT,SPA,Secular Party of Australia,4,1,1,0,1904,0.96,38,1.20,11,2.78,119,0.97,65,0.96,2137,0.96,+0.96
NT,ALP,Australian Labor Party,1,2,2,0,32397,38.42,628,39.50,55,36.42,1492,34.16,838,28.65,35410,37.93,-9.72
NT,CLP,Country Liberals,2,2,2,1,34073,40.41,545,34.28,69,45.70,1879,43.02,1558,53.26,38124,40.84,-0.19
NT,GRN,The Greens,3,2,2,0,10736,12.73,250,15.72,20,13.25,734,16.80,353,12.07,12093,12.95,+4.90
NT,CEC,Citizens Electoral Council,4,2,2,0,2138,2.54,47,2.96,2,1.32,75,1.72,48,1.64,2310,2.47,+2.22
NT,ON,One Nation,5,1,1,0,1319,1.56,44,2.77,5,3.31,75,1.72,62,2.12,1505,1.61,+1.61
NT,IND,Independent,6,1,2,0,3653,4.33,76,4.78,0,0.00,113,2.59,66,2.26,3908,4.19,+1.53
