2010 Federal Election House of Representatives Two Party Preferred By Division [Please Note: These results are not final. Event:15508 Phase:PostElection Generated:2010-09-07T12:01:19 Cycle:043007b8-5b97-4142-9feb-94afbdb4ae61 Created:2010-09-07T11:49:37 Environment:PROD Site:FDC Server:DB01 Version:6.0.9.8314]
DivisionNm,DivisionID,StateAb,PartyAb,Australian Labor Party Votes,Australian Labor Party Percentage,Liberal/National Coalition Votes,Liberal/National Coalition Percentage,TotalVotes,Swing
Macquarie,133,NSW,,42650,48.79,44765,51.21,87415,-1.49
Makin,187,SA,,53007,62.2,32213,37.8,85220,4.5
Mallee,224,VIC,,20471,25.56,59632,74.44,80103,-3.17
Maranoa,170,QLD,,23600,27.08,63551,72.92,87151,-8.86
Maribyrnong,225,VIC,,50392,66.75,25099,33.25,75491,1.43
Mayo,188,SA,,39218,42.66,52706,57.34,91924,-0.28
McEwen,226,VIC,,56736,55.2,46040,44.8,102776,5.22
McMahon,315,NSW,,44632,57.93,32411,42.07,77043,-5.84
McMillan,227,VIC,,37976,45.54,45406,54.46,83382,0.33
McPherson,171,QLD,,31118,39.87,46930,60.13,78048,-1.48
Melbourne,228,VIC,,0,0,0,0,0,-72.27
Melbourne Ports,230,VIC,,48012,57.69,35206,42.31,83218,0.54
Menzies,229,VIC,,33674,41.11,48239,58.89,81913,-2.87
Mitchell,134,NSW,,27405,32.81,56112,67.19,83517,-7.54
Moncrieff,172,QLD,,24386,32.21,51329,67.79,75715,-3.99
Moore,242,WA,,31844,38.8,50234,61.2,82078,-2.27
Moreton,173,QLD,,41298,51.14,39454,48.86,80752,-4.87
Murray,231,VIC,,23150,29.8,54542,70.2,77692,-1.94
New England,135,NSW,,0,0,0,0,0,-35.16
Newcastle,136,NSW,,51165,62.42,30799,37.58,81964,-3.49
North Sydney,137,NSW,,30360,35.95,54090,64.05,84450,-8.54
O'Connor,243,WA,,0,0,0,0,0,-37.24
Oxley,174,QLD,,39849,55.71,31684,44.29,71533,-5.63
Page,138,NSW,,45959,54.22,38811,45.78,84770,1.86
Parkes,139,NSW,,27405,31.09,60754,68.91,88159,-5.24
Parramatta,140,NSW,,42517,54.28,35815,45.72,78332,-5.58
Paterson,249,NSW,,36809,44.68,45578,55.32,82387,-4.74
Pearce,244,WA,,31223,41.35,44292,58.65,75515,-0.96
Perth,245,WA,,44617,55.93,35150,44.07,79767,-2.01
Petrie,175,QLD,,40117,52.54,36240,47.46,76357,-1.67
Port Adelaide,189,SA,,63378,70.12,27001,29.88,90379,0.37
Rankin,176,QLD,,44284,55.4,35647,44.6,79931,-6.27
Reid,144,NSW,,41942,52.67,37690,47.33,79632,-8.17
Richmond,145,NSW,,45204,56.93,34203,43.07,79407,-1.94
Riverina,250,NSW,,27769,31.65,59976,68.35,87745,-3.8
Robertson,146,NSW,,43536,51.01,41805,48.99,85341,0.92
Ryan,177,QLD,,38063,42.75,50972,57.25,89035,-6.04
Scullin,232,VIC,,56257,72.26,21594,27.74,77851,1.41
Shortland,148,NSW,,52636,62.87,31087,37.13,83723,-1.87
Solomon,307,NT,,24517,48.11,26439,51.89,50956,-2.08
Stirling,246,WA,,35863,44.49,44744,55.51,80607,-4.24
Sturt,190,SA,,39454,46.48,45434,53.52,84888,-2.58
Swan,247,WA,,37390,47.42,41465,52.58,78855,-2.85
Sydney,149,NSW,,51003,67,25123,33,76126,-2.32
Tangney,248,WA,,31584,37.66,52290,62.34,83874,-2.53
Throsby,150,NSW,,50912,62.07,31108,37.93,82020,-4.69
Wakefield,191,SA,,54569,62,33444,38,88013,5.41
Wannon,233,VIC,,35629,42.8,47618,57.2,83247,0.27
Warringah,151,NSW,,30843,36.89,52764,63.11,83607,-4.33
Watson,251,NSW,,44346,59.12,30668,40.88,75014,-9.08
Wentworth,152,NSW,,29851,35.14,55088,64.86,84939,-11.01
Werriwa,153,NSW,,42237,56.41,32633,43.59,74870,-8.66
Wide Bay,178,QLD,,28027,34.38,53487,65.62,81514,-7.23
Wills,234,VIC,,60813,72.41,23173,27.59,83986,0.01
Wright,316,QLD,,29971,39.75,45430,60.25,75401,-6.46
