2010 Federal Election Senate First Preferences By Group By Vote Type By State [Please Note: These results are not final. Event:15508 Phase:PostElection Generated:2010-09-07T11:30:03 Cycle:15b97fb7-5572-4499-a32e-cf37bbf253f2 Created:2010-09-07T11:19:27 Environment:PROD Site:FDC Server:DB01 Version:6.0.9.8314]
StateAb,GroupAb,GroupNm,OrdinaryVotes,OrdinaryPercentage,AbsentVotes,AbsentPercentage,ProvisionalVotes,ProvisionalPercentage,PrePollVotes,PrePollPercentage,PostalVotes,PostalPercentage,TotalVotes,TotalPercentage
VIC,CDP,Christian Democratic Party,10003,0.38,430,0.35,24,0.41,301,0.33,705,0.39,11463,0.38
VIC,CA,Carers Alliance,3849,0.15,176,0.14,14,0.24,122,0.13,805,0.45,4966,0.16
VIC,SOL,Senator On-Line,2210,0.08,68,0.06,14,0.24,60,0.07,54,0.03,2406,0.08
VIC,LDP,Liberal Democrats (LDP),45311,1.73,2966,2.44,127,2.18,2437,2.68,3420,1.92,54261,1.80
VIC,SAL,Socialist Alliance,2464,0.09,129,0.11,10,0.17,96,0.11,96,0.05,2795,0.09
VIC,SEP,Socialist Equality Party,8497,0.32,311,0.26,32,0.55,160,0.18,227,0.13,9227,0.31
VIC,CEC,Citizens Electoral Council,1900,0.07,81,0.07,12,0.21,63,0.07,114,0.06,2170,0.07
VIC,ASXP,Australian Sex Party,58801,2.24,4306,3.54,195,3.35,1765,1.94,2247,1.26,67314,2.23
VIC,BAP,Building Australia,3858,0.15,284,0.23,16,0.27,137,0.15,227,0.13,4522,0.15
VIC,SPA,Secular Party of Australia,2722,0.10,123,0.10,7,0.12,84,0.09,209,0.12,3145,0.10
VIC,TCS,The Climate Sceptics,3805,0.15,189,0.16,14,0.24,132,0.15,323,0.18,4463,0.15
VIC,UNAM,Unendorsed/Ungrouped Amalgamated,8323,0.32,302,0.25,18,0.31,218,0.24,587,0.33,9448,0.31
QLD,LNQ,Liberal National Party of Queensland,826492,41.22,37483,36.63,2453,29.23,24352,41.98,68188,50.43,958968,41.53
QLD,ALP,Australian Labor Party,593954,29.62,28085,27.45,2780,33.12,15708,27.08,36950,27.33,677477,29.34
QLD,GRN,The Greens,255440,12.74,15866,15.51,1061,12.64,7697,13.27,12255,9.06,292319,12.66
QLD,FFP,Family First,70764,3.53,3766,3.68,480,5.72,1511,2.60,3204,2.37,79725,3.45
QLD,DEM,Australian Democrats,15509,0.77,742,0.73,49,0.58,455,0.78,1052,0.78,17807,0.77
QLD,AFLP,Australian Fishing and Lifestyle Party,40333,2.01,2354,2.30,230,2.74,1112,1.92,2034,1.50,46063,1.99
QLD,ASP,Shooters and Fishers,34078,1.70,2414,2.36,240,2.86,1232,2.12,2130,1.58,40094,1.74
QLD,DLP,D.L.P. - Democratic Labor Party,9158,0.46,619,0.60,70,0.83,312,0.54,384,0.28,10543,0.46
QLD,CDP,Christian Democratic Party,8124,0.41,584,0.57,42,0.50,296,0.51,674,0.50,9720,0.42
QLD,CA,Carers Alliance,5052,0.25,256,0.25,31,0.37,129,0.22,824,0.61,6292,0.27
QLD,ON,One Nation,18009,0.90,1145,1.12,97,1.16,576,0.99,1350,1.00,21177,0.92
QLD,LDP,Liberal Democrats (LDP),42880,2.14,3225,3.15,291,3.47,2343,4.04,2702,2.00,51441,2.23
QLD,SAL,Socialist Alliance,3447,0.17,178,0.17,12,0.14,71,0.12,72,0.05,3780,0.16
QLD,SOL,Senator On-Line,7677,0.38,344,0.34,39,0.46,134,0.23,234,0.17,8428,0.37
QLD,CEC,Citizens Electoral Council,3168,0.16,101,0.10,20,0.24,57,0.10,187,0.14,3533,0.15
QLD,FST,Australia First Party,8079,0.40,448,0.44,54,0.64,192,0.33,413,0.31,9186,0.40
QLD,ASXP,Australian Sex Party,51974,2.59,4129,4.04,384,4.58,1530,2.64,1845,1.36,59862,2.59
QLD,SPA,Secular Party of Australia,1625,0.08,96,0.09,6,0.07,47,0.08,75,0.06,1849,0.08
QLD,TCS,The Climate Sceptics,3708,0.18,201,0.20,22,0.26,110,0.19,304,0.22,4345,0.19
QLD,UNAM,Unendorsed/Ungrouped Amalgamated,5612,0.28,286,0.28,32,0.38,141,0.24,339,0.25,6410,0.28
WA,LP,Liberal,433169,43.15,33478,40.43,1752,35.44,20879,45.31,25922,46.59,515200,43.18
WA,ALP,Australian Labor Party,301523,30.04,22566,27.25,1583,32.02,12426,26.97,16684,29.99,354782,29.73
WA,GRN,The Greens,138258,13.77,13840,16.71,829,16.77,6446,13.99,5876,10.56,165249,13.85
WA,CDP,Christian Democratic Party,18622,1.86,1340,1.62,59,1.19,555,1.20,912,1.64,21488,1.80
WA,NP,The Nationals,34087,3.40,3100,3.74,101,2.04,1493,3.24,1958,3.52,40739,3.41
WA,DEM,Australian Democrats,3763,0.37,281,0.34,21,0.42,256,0.56,262,0.47,4583,0.38
WA,ON,One Nation,5780,0.58,610,0.74,32,0.65,357,0.77,535,0.96,7314,0.61
WA,DLP,D.L.P. - Democratic Labor Party,7506,0.75,684,0.83,59,1.19,334,0.72,358,0.64,8941,0.75
WA,FFP,Family First,11360,1.13,1112,1.34,105,2.12,479,1.04,655,1.18,13711,1.15
WA,CA,Carers Alliance,1163,0.12,94,0.11,4,0.08,48,0.10,228,0.41,1537,0.13
WA,CEC,Citizens Electoral Council,965,0.10,97,0.12,11,0.22,47,0.10,62,0.11,1182,0.10
WA,SAL,Socialist Alliance,993,0.10,108,0.13,9,0.18,42,0.09,50,0.09,1202,0.10
WA,SOL,Senator On-Line,381,0.04,49,0.06,9,0.18,17,0.04,28,0.05,484,0.04
WA,LDP,Liberal Democrats (LDP),11046,1.10,1234,1.49,83,1.68,853,1.85,618,1.11,13834,1.16
WA,ASXP,Australian Sex Party,21714,2.16,2952,3.56,193,3.90,934,2.03,751,1.35,26544,2.22
WA,ASP,Shooters and Fishers,5664,0.56,693,0.84,43,0.87,384,0.83,362,0.65,7146,0.60
WA,SPA,Secular Party of Australia,811,0.08,67,0.08,4,0.08,31,0.07,46,0.08,959,0.08
WA,TCS,The Climate Sceptics,1374,0.14,122,0.15,11,0.22,328,0.71,93,0.17,1928,0.16
WA,UNAM,Unendorsed/Ungrouped Amalgamated,5579,0.56,382,0.46,36,0.73,167,0.36,238,0.43,6402,0.54
SA,ALP,Australian Labor Party,323852,38.92,15677,39.31,1241,47.86,5540,36.89,16455,42.01,362765,39.06
SA,LP,Liberal,306986,36.89,11835,29.68,579,22.33,5713,38.04,14468,36.94,339581,36.56
SA,GRN,The Greens,109807,13.20,6860,17.20,374,14.42,2122,14.13,3933,10.04,123096,13.25
SA,FFP,Family First,34063,4.09,1780,4.46,155,5.98,536,3.57,1783,4.55,38317,4.13
SA,DLP,D.L.P. - Democratic Labor Party,5711,0.69,362,0.91,38,1.47,97,0.65,176,0.45,6384,0.69
SA,DEM,Australian Democrats,5605,0.67,297,0.74,10,0.39,128,0.85,371,0.95,6411,0.69
SA,ON,One Nation,4164,0.50,247,0.62,21,0.81,64,0.43,235,0.60,4731,0.51
SA,ASP,Shooters and Fishers,9097,1.09,573,1.44,34,1.31,190,1.27,391,1.00,10285,1.11
SA,CDP,Christian Democratic Party,2042,0.25,111,0.28,8,0.31,33,0.22,119,0.30,2313,0.25
SA,LDP,Liberal Democrats (LDP),4563,0.55,226,0.57,25,0.96,115,0.77,134,0.34,5063,0.55
SA,SAL,Socialist Alliance,806,0.10,81,0.20,5,0.19,16,0.11,35,0.09,943,0.10
SA,SOL,Senator On-Line,1010,0.12,43,0.11,0,0.00,18,0.12,37,0.09,1108,0.12
SA,ASXP,Australian Sex Party,13632,1.64,1141,2.86,63,2.43,274,1.82,370,0.94,15480,1.67
SA,BAP,Building Australia,1230,0.15,97,0.24,12,0.46,17,0.11,43,0.11,1399,0.15
SA,CA,Carers Alliance,2483,0.30,139,0.35,3,0.12,41,0.27,270,0.69,2936,0.32
SA,SPA,Secular Party of Australia,768,0.09,40,0.10,1,0.04,19,0.13,45,0.11,873,0.09
SA,TCS,The Climate Sceptics,3933,0.47,213,0.53,12,0.46,44,0.29,162,0.41,4364,0.47
SA,UNAM,Unendorsed/Ungrouped Amalgamated,2425,0.29,158,0.40,12,0.46,50,0.33,141,0.36,2786,0.30
TAS,ALP,Australian Labor Party,117679,41.90,6073,38.61,450,43.35,3295,32.71,9322,41.05,136819,41.41
TAS,LP,Liberal,91730,32.66,4612,29.32,223,21.48,3908,38.80,8489,37.38,108962,32.98
TAS,GRN,Australian Greens,56558,20.14,3957,25.16,272,26.20,2383,23.66,3738,16.46,66908,20.25
TAS,FFP,Family First,3461,1.23,225,1.43,27,2.60,110,1.09,221,0.97,4044,1.22
TAS,DLP,Democratic Labor Party (DLP) of Australia,1345,0.48,92,0.58,4,0.39,33,0.33,86,0.38,1560,0.47
TAS,ASP,Shooters and Fishers,5432,1.93,463,2.94,38,3.66,189,1.88,518,2.28,6640,2.01
TAS,DEM,Australian Democrats,1355,0.48,73,0.46,3,0.29,61,0.61,107,0.47,1599,0.48
TAS,SPA,Secular Party of Australia,470,0.17,34,0.22,4,0.39,26,0.26,40,0.18,574,0.17
TAS,SOL,Senator On-Line,1286,0.46,87,0.55,12,1.16,23,0.23,70,0.31,1478,0.45
TAS,TCS,The Climate Sceptics,643,0.23,45,0.29,3,0.29,20,0.20,55,0.24,766,0.23
TAS,UNAM,Unendorsed/Ungrouped Amalgamated,894,0.32,67,0.43,2,0.19,24,0.24,65,0.29,1052,0.32
ACT,ALP,Australian Labor Party,82350,41.14,1084,42.11,232,47.15,4140,40.81,2135,39.00,89941,41.09
ACT,LP,Liberal,66506,33.22,816,31.70,156,31.71,3551,35.00,2437,44.52,73466,33.56
ACT,GRN,The Greens,45694,22.83,633,24.59,97,19.72,2218,21.86,800,14.61,49442,22.59
ACT,DEM,Australian Democrats,3419,1.71,41,1.59,7,1.42,202,1.99,89,1.63,3758,1.72
ACT,UNAM,Unendorsed/Ungrouped Amalgamated,2223,1.11,0,0.00,0,0.00,34,0.34,13,0.24,2270,1.04
NT,ALP,Australian Labor Party (Northern Territory) Branch,30123,34.80,589,35.52,89,35.04,1411,31.47,758,25.84,32970,34.38
NT,CLP,Country Liberals (NT),34791,40.19,581,35.04,92,36.22,1894,42.25,1600,54.53,38958,40.63
NT,GRN,The Greens,11593,13.39,239,14.41,37,14.57,760,16.95,355,12.10,12984,13.54
NT,CEC,Citizens Electoral Council,818,0.94,11,0.66,3,1.18,26,0.58,24,0.82,882,0.92
NT,ASXP,Australian Sex Party,4542,5.25,83,5.01,16,6.30,184,4.10,75,2.56,4900,5.11
NT,ASP,Shooters and Fishers,4152,4.80,148,8.93,17,6.69,177,3.95,103,3.51,4597,4.79
NT,UNAM,Unendorsed/Ungrouped Amalgamated,542,0.63,7,0.42,0,0.00,31,0.69,19,0.65,599,0.62
